Category,Age2,Age3,Age4,Age5
A1,1,1,1,1
A2,1,1,1,1
A3,1,1,1,1
A4,1,1,1,1
A5,0.5,1,1,1
A6,0.25,1,1,1
A7,0.5,1,1,1
A8,0,0.5,1,1
A9,0,0.5,1,1
A10,0,0.5,1,1
A11,0.5,1,1,1
A12,0.5,1,1,1
A13,0.5,1,1,1
A14,0.5,1,1,1
A15,0.5,1,1,1
A16,0.5,1,1,1
A17,0.25,0.75,1,1
A18,0.5,1,1,1
A19,0,1,1,1
B1,0.5,1,1,1
B2,0.5,0.75,1,1
B3,0,1,1,1
B4,0,1,1,1
B5,0,1,1,1
B6,0,1,1,1
B7,0,0.5,1,1
B8,0,0.5,1,1
B9,0,0,0.5,1
B10,0,0,0.75,1
B11,0,0,1,1
B12,0,0,0.5,1
B13,0,0,0.25,1
B14,0,0,0,1
B15,0,0,0,0.75
B16,0,0,0.75,1
B17,0,0,0.5,1
B18,0,0,0.5,1
B19,0,0,0.25,1
B20,0,0,0,1
B21,0,0,0.75,1
B22,0,0,0.25,1
B23,0,0,0,1
B24,0,0,0,1
B25,0,0,0,1
B26,0,0,0,1
B27,0,0,0,0.5
C1,1,1,1,1
C2,1,1,1,1
C3,1,1,1,1
C4,1,1,1,1
C5,1,1,1,1
C6,0.75,1,1,1
C7,0.75,0.75,1,1
C8,1,1,1,1
C9,0.75,1,1,1
C10,1,1,1,1
C11,1,1,1,1
C12,1,1,1,1
C13,0.5,1,1,1
C14,0.5,1,1,1
C15,0.75,1,1,1
C16,0.25,0.75,0.75,1
C17,0,0.75,0.75,1
C18,0,1,1,1
C19,0,0.5,1,1
C20,0,1,1,1
C21,0.75,1,1,1
C22,0.5,1,1,1
C23,0.25,0.75,1,1
C24,0,0.5,0.75,1
C25,0,0.5,1,1
C26,0.25,0.75,1,1
C27,1,1,1,1
C28,1,1,1,1
C29,0.5,1,1,1
C30,0.5,1,1,1
C31,0,1,1,1
C32,0,1,1,1
C33,0,0.5,1,1
C34,0,1,1,1
C35,0,0.5,0.75,1
C36,0,0,0.75,1
C37,0,0.25,0.75,1
C38,0,0.25,0.5,1
C39,0,0.25,0.75,1
C40,0,0,1,1
C41,0,0,1,1
C42,0,0.25,1,1
C43,0,0.5,1,1
C44,0,0,1,1
C45,0,0.5,1,1
C46,0,0.25,0.75,1
C47,0,0.25,0.75,1
C48,0,0.25,1,1
C49,0,0,0.5,1
C50,0,0,0.5,1
C51,0,0,0.5,1
C52,0,0.25,0.5,1
C53,0,0,0.5,1
C54,0,0,1,1
C55,0,0,0.5,1
C56,0,0,0,1
C57,0,0,0.25,1
D1,0.75,1,1,1
D2,0.5,1,1,1
D3,0.5,1,1,1
D4,0.5,1,1,1
D5,0.5,1,1,1
D6,0.25,0.5,1,1
D7,1,1,1,1
D8,0.25,1,1,1
D9,0.5,1,1,1
D10,0.5,1,1,1
D11,0.25,1,1,1
D12,0.25,1,1,1
D13,0,0.5,0.5,1
D14,0,1,1,1
D15,0,1,1,1
D16,0,0.5,1,1
D17,0,0.5,1,1
D18,0,0,0.5,1
D19,0,0.5,1,1
D20,0,0.25,1,1
D21,0,0,1,1
D22,0,0,1,1
D23,0,0,1,1
D24,0,0,0.5,1
D25,0,0.75,1,1
D26,0,0.5,1,1
D27,0,0.75,1,1
E1,0.75,1,1,1
E2,0.5,1,1,1
E3,0.75,1,1,1
E4,0.5,1,1,1
E5,,1,1,1
E6,,0.5,1,1
E7,,0.5,1,1
E8,0.5,1,1,1
E9,1,1,1,1
E10,0.5,1,1,1
E11,0.25,0.5,0.75,1
E12,0.75,0.75,1,1
E13,0,0.75,1,1
E14,0,0.5,0.5,0.75
E15,0,0.5,1,1
E16,0,1,1,1
E17,0,0.5,1,1
E18,0,0.5,1,1
E19,0.25,1,1,1
E20,0,0.75,1,1
F1,1,1,1,1
F2,0.75,1,1,1
F3,0.75,1,1,1
F4,0.75,1,1,1
F5,0.75,1,1,1
F6,0.75,1,1,1
F7,1,1,1,1
F8,0.75,1,1,1
F9,0.25,1,1,1
F10,0.5,1,1,1
F11,0,1,1,1
F12,0.5,1,1,1
F13,0.5,1,1,1
F14,0,1,1,1
F15,0,1,1,1
F16,0,0.5,1,1
F17,0,0.5,1,1
F18,0,0.5,1,1
F19,0,1,1,1
F20,0,1,1,1
F21,0,0.5,1,1
F22,0,0.5,1,1
F23,0,0.5,1,1
F24,0,0,1,1
F25,0,0,1,1
F26,0,0,1,1
F27,0,0.5,1,1
F28,0,0.5,1,1
F29,0,1,1,1
G1,1,1,1,1
G2,0.5,1,1,1
G3,0.75,1,1,1
G4,0.5,1,1,1
G5,0.5,0.75,1,1
G6,1,1,1,1
G7,0,1,1,1
G8,0,1,1,1
G9,0,1,1,1
G10,0.5,1,1,1
G11,0,1,1,1
G12,0,0.75,0.75,1
G13,0,0.75,0.75,1
G14,0,0.25,0.75,1
G15,0,0.25,0.75,1
G16,0,0.5,0.75,1
G17,0,0.5,0.75,1
G18,0,0.75,1,1
G19,0,0.75,1,1
G20,0,0.5,1,1
G21,0,0.5,1,1
G22,0,0.75,1,1
G23,0,1,1,1
G24,0,0.5,0.75,1
G25,0,0.25,0.25,0.75
G26,0,0.5,1,1
G27,0,0,0.5,0.75
G28,0,0,0.5,1
G29,0,0,0.5,1
G30,0,0.5,1,1
G31,0,0.5,1,1
G32,0,0.5,1,1
G33,0,0.75,1,1
G34,0,0.5,1,1
G35,0,0.25,0.75,1
G36,0,0.5,1,1
G37,0,0.25,0.75,1
G38,0,0.5,0.5,1
G39,0,0.5,0.5,1
G40,0,0.5,1,1
G41,0,0.25,0.5,1
G42,0,0.5,1,1
G43,0,0.75,1,1
G44,0,0.25,0.5,0.75
G45,0,0,0.5,1
G46,0,0.5,0.75,1
G47,0,1,1,1
H1,0.25,1,1,1
H2,0.25,1,1,1
H3,0,0,0,0
H4,0.25,1,1,1
H5,0,0.75,1,1
H6,0,1,1,1
H7,0,0.25,0.75,1
H8,0,0.5,0.75,1
H9,0,0.25,0.75,1
H10,0,0.25,0.75,1
H11,0,0.25,0.5,1
H12,0,0.25,0.75,1
H13,0,0.25,0.75,1
H14,0,0.25,0.75,1
H15,0,0.25,0.5,1
H16,0,0.25,0.5,1
H17,0,0.25,0.5,1
H18,0,0,0.5,0.75
H19,0,0,1,1
H20,0,0,1,1
H21,0,0,1,1
H22,0,0,1,1
H23,0,0.25,0.75,1
H24,0,0.25,0.75,1
H25,0,0.25,0.75,1
H26,0,0,0.5,0.75
H27,0,0,0.5,0.75
H28,0,0.25,0.5,1
H29,0,0,0.25,1
H30,0,0,1,1
H31,0,0.25,0.5,1
H32,0,0,0.25,1
H33,0,0,0.25,1
H34,0,0,0.5,0.75
H35,0,0,0.5,0.75
H36,0,0,0.5,1
H37,0,0,0.75,1
H38,0,0,0.25,0.75
H39,0,0,0.25,0.75
H40,0,0,0,1
H41,0,0,0,1
H42,0,0,0.25,1
H43,0,0,0.5,1
H44,0,0,0.75,1
H45,0,0,0.5,1
H46,0,0,0.25,0.75
H47,0,0,0.5,1
H48,0,0,0.5,1
H49,0,0,1,1
I1,1,1,1,1
I2,0.75,1,1,1
I3,0,1,1,1
I4,0.25,1,1,1
I5,0,1,1,1
I6,1,1,1,1
I7,1,1,1,1
I8,0.5,1,1,1
I9,0,0,1,1
J1,0,0.75,1,1
J2,0,0.75,0.75,1
J3,0,0.5,0.5,1
J4,0,1,1,1
J5,0,1,1,1
J6,0,0,0.5,0.5
J7,0,0,0.5,1
J8,0,0.5,0.5,1
J9,0,0,0.5,1
J10,0,0.5,0.5,1
J11,0,0.5,0.5,1
J12,0,0.5,1,1
J13,0,0,0.5,1
J14,0,0,0.5,1
J15,0,0,0.5,0.5
J16,0,0,0.5,1
J17,0,0.5,0.5,1
J18,0,0,0.5,1
J19,0,0,0.5,1
J20,0,0,0,0.5
K1,1,1,1,1
K2,1,1,1,1
K3,0.5,1,1,1
K4,0.5,1,1,1
K5,1,1,1,1
K6,0.5,1,1,1
K7,0.25,0.75,1,1
K8,0.25,0.75,1,1
K9,0,0.25,0.75,1
K10,0,0.75,1,1
K11,0,0.75,0.75,1
K12,0,0.5,0.75,1
K13,0,0.25,0.75,1
K14,0,0.25,0.5,1
K15,0,0,0.25,0.5
L1,0.75,0.75,0.75,1
L2,1,1,1,1
L3,1,1,1,1
L4,1,1,1,1
L5,1,1,1,1
L6,0.5,1,1,1
L7,1,1,1,1
L8,0.5,1,1,1
L9,0.5,1,1,1
L10,0,0.5,0.5,1
L11,0,0.5,0.75,1
L12,0,1,1,1
L13,0,0.5,0.5,1
L14,0.5,1,1,1
L15,0,1,1,1
L16,0.5,0.75,1,1
L17,0.5,1,1,1
L18,0,0.5,1,1
L19,0,0.5,0.5,1
L20,0,0.25,0.5,1
L21,0,0.5,0.5,1
L22,0,0.5,1,1
L23,0,0.5,1,1
L24,0,0,0.5,1
L25,0,0,0.5,1
L26,0,0,0.5,1
L27,0,0,0.5,1
L28,0,0,0.5,1
L29,0,0,0.5,1
L30,0,0.5,1,1
L31,0,0,0,0.5
L32,0,0,1,1
L33,0,0.5,1,1
L34,0,0.5,0.75,1
M1,0,0.25,1,1
M2,0,0,0.5,1
M3,0,0.25,1,1
M4,0,0,0.5,1
M5,0,0,1,1
M6,0,0,1,1
M7,0,0,0,1
M8,0,0,0,1
M9,0,0,0,1
M10,0,0,0,1
M11,0,0,0.5,1
M12,0,0,1,1
N1,0,0,0,1
N2,0,0,0,1
N3,0,0,0,1
N4,0,0,0,1
N5,0,0,0,1
N6,0,0,0,1
N7,0,0,0,0.75
N8,0,0,0,1
N9,0,0,0,1
N10,0,0,0,1
P1,0.25,1,1,1
P2,0,0.5,1,1
P3,0,1,1,1
P4,0,1,1,1
P5,0,1,1,1
P6,0,0.5,1,1
Q1,0,0,0,0.25
Q2,0,0,0,0.25
Q3,0,0,0,0.25
Q4,0,0,0,0.5
Q5,0,0,0,0
Q6,0,0,0,0
Q7,0,0,0,0
Q8,0,0,0,0.5
Q9,0,0,0,0
Q10,0,0,0,0
Q11,0,0,0,0
Q12,0,0,0,0
Q13,0,0,0,0
Q14,0,0,0,0
Q15,0,0,0,0
Q16,0,0,0,0
Q17,0,0,0,0
R1,0,0.5,1,1
R2,0,0,0.25,0.75
R3,0,0.5,1,1
R4,0,0,0.25,0.75
R5,0,0,0,0.75
R6,0,0,0,1
R7,0,0,0,0.25
R8,0,0,0,0.5
R9,0,0,0,1
R10,0,0,0,1
R11,0,0,0,1
R12,0,0,0,1
R13,0,0,0,1
R14,0,0,0,0.5
R15,0,0,0,1
R16,0,0,0,1
R17,0,0,0,0
